,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,embark_town,alone
0,0,3,male,22.0,1,0,7.25,S,Third,man,Southampton,No
1,1,1,female,38.0,1,0,71.2833,C,First,woman,Cherbourg,No
2,1,3,female,26.0,0,0,7.925,S,Third,woman,Southampton,Yes
3,1,1,female,35.0,1,0,53.1,S,First,woman,Southampton,No
4,0,3,male,35.0,0,0,8.05,S,Third,man,Southampton,Yes
5,0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,Queenstown,Yes
6,0,1,male,54.0,0,0,51.8625,S,First,man,Southampton,Yes
7,0,3,male,2.0,3,1,21.075,S,Third,child,Southampton,No
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,Southampton,No
9,1,2,female,14.0,1,0,30.0708,C,Second,child,Cherbourg,No
10,1,3,female,4.0,1,1,16.7,S,Third,child,Southampton,No
11,1,1,female,58.0,0,0,26.55,S,First,woman,Southampton,Yes
12,0,3,male,20.0,0,0,8.05,S,Third,man,Southampton,Yes
13,0,3,male,39.0,1,5,31.275,S,Third,man,Southampton,No
14,0,3,female,14.0,0,0,7.8542,S,Third,child,Southampton,Yes
15,1,2,female,55.0,0,0,16.0,S,Second,woman,Southampton,Yes
16,0,3,male,2.0,4,1,29.125,Q,Third,child,Queenstown,No
17,1,2,male,29.69911764705882,0,0,13.0,S,Second,man,Southampton,Yes
18,0,3,female,31.0,1,0,18.0,S,Third,woman,Southampton,No
19,1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,Cherbourg,Yes
20,0,2,male,35.0,0,0,26.0,S,Second,man,Southampton,Yes
21,1,2,male,34.0,0,0,13.0,S,Second,man,Southampton,Yes
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,Queenstown,Yes
23,1,1,male,28.0,0,0,35.5,S,First,man,Southampton,Yes
24,0,3,female,8.0,3,1,21.075,S,Third,child,Southampton,No
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,Southampton,No
26,0,3,male,29.69911764705882,0,0,7.225,C,Third,man,Cherbourg,Yes
27,0,1,male,19.0,3,2,263.0,S,First,man,Southampton,No
28,1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,Queenstown,Yes
29,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,Southampton,Yes
30,0,1,male,40.0,0,0,27.7208,C,First,man,Cherbourg,Yes
31,1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,Cherbourg,No
32,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,Queenstown,Yes
33,0,2,male,66.0,0,0,10.5,S,Second,man,Southampton,Yes
34,0,1,male,28.0,1,0,82.1708,C,First,man,Cherbourg,No
35,0,1,male,42.0,1,0,52.0,S,First,man,Southampton,No
36,1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,Cherbourg,Yes
37,0,3,male,21.0,0,0,8.05,S,Third,man,Southampton,Yes
38,0,3,female,18.0,2,0,18.0,S,Third,woman,Southampton,No
39,1,3,female,14.0,1,0,11.2417,C,Third,child,Cherbourg,No
40,0,3,female,40.0,1,0,9.475,S,Third,woman,Southampton,No
41,0,2,female,27.0,1,0,21.0,S,Second,woman,Southampton,No
42,0,3,male,29.69911764705882,0,0,7.8958,C,Third,man,Cherbourg,Yes
43,1,2,female,3.0,1,2,41.5792,C,Second,child,Cherbourg,No
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,Queenstown,Yes
45,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
46,0,3,male,29.69911764705882,1,0,15.5,Q,Third,man,Queenstown,No
47,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,Queenstown,Yes
48,0,3,male,29.69911764705882,2,0,21.6792,C,Third,man,Cherbourg,No
49,0,3,female,18.0,1,0,17.8,S,Third,woman,Southampton,No
50,0,3,male,7.0,4,1,39.6875,S,Third,child,Southampton,No
51,0,3,male,21.0,0,0,7.8,S,Third,man,Southampton,Yes
52,1,1,female,49.0,1,0,76.7292,C,First,woman,Cherbourg,No
53,1,2,female,29.0,1,0,26.0,S,Second,woman,Southampton,No
54,0,1,male,65.0,0,1,61.9792,C,First,man,Cherbourg,No
55,1,1,male,29.69911764705882,0,0,35.5,S,First,man,Southampton,Yes
56,1,2,female,21.0,0,0,10.5,S,Second,woman,Southampton,Yes
57,0,3,male,28.5,0,0,7.2292,C,Third,man,Cherbourg,Yes
58,1,2,female,5.0,1,2,27.75,S,Second,child,Southampton,No
59,0,3,male,11.0,5,2,46.9,S,Third,child,Southampton,No
60,0,3,male,22.0,0,0,7.2292,C,Third,man,Cherbourg,Yes
61,1,1,female,38.0,0,0,80.0,S,First,woman,Southampton,Yes
62,0,1,male,45.0,1,0,83.475,S,First,man,Southampton,No
63,0,3,male,4.0,3,2,27.9,S,Third,child,Southampton,No
64,0,1,male,29.69911764705882,0,0,27.7208,C,First,man,Cherbourg,Yes
65,1,3,male,29.69911764705882,1,1,15.2458,C,Third,man,Cherbourg,No
66,1,2,female,29.0,0,0,10.5,S,Second,woman,Southampton,Yes
67,0,3,male,19.0,0,0,8.1583,S,Third,man,Southampton,Yes
68,1,3,female,17.0,4,2,7.925,S,Third,woman,Southampton,No
69,0,3,male,26.0,2,0,8.6625,S,Third,man,Southampton,No
70,0,2,male,32.0,0,0,10.5,S,Second,man,Southampton,Yes
71,0,3,female,16.0,5,2,46.9,S,Third,woman,Southampton,No
72,0,2,male,21.0,0,0,73.5,S,Second,man,Southampton,Yes
73,0,3,male,26.0,1,0,14.4542,C,Third,man,Cherbourg,No
74,1,3,male,32.0,0,0,56.4958,S,Third,man,Southampton,Yes
75,0,3,male,25.0,0,0,7.65,S,Third,man,Southampton,Yes
76,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,Southampton,Yes
77,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
78,1,2,male,0.83,0,2,29.0,S,Second,child,Southampton,No
79,1,3,female,30.0,0,0,12.475,S,Third,woman,Southampton,Yes
80,0,3,male,22.0,0,0,9.0,S,Third,man,Southampton,Yes
81,1,3,male,29.0,0,0,9.5,S,Third,man,Southampton,Yes
82,1,3,female,29.69911764705882,0,0,7.7875,Q,Third,woman,Queenstown,Yes
83,0,1,male,28.0,0,0,47.1,S,First,man,Southampton,Yes
84,1,2,female,17.0,0,0,10.5,S,Second,woman,Southampton,Yes
85,1,3,female,33.0,3,0,15.85,S,Third,woman,Southampton,No
86,0,3,male,16.0,1,3,34.375,S,Third,man,Southampton,No
87,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
88,1,1,female,23.0,3,2,263.0,S,First,woman,Southampton,No
89,0,3,male,24.0,0,0,8.05,S,Third,man,Southampton,Yes
90,0,3,male,29.0,0,0,8.05,S,Third,man,Southampton,Yes
91,0,3,male,20.0,0,0,7.8542,S,Third,man,Southampton,Yes
92,0,1,male,46.0,1,0,61.175,S,First,man,Southampton,No
93,0,3,male,26.0,1,2,20.575,S,Third,man,Southampton,No
94,0,3,male,59.0,0,0,7.25,S,Third,man,Southampton,Yes
95,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
96,0,1,male,71.0,0,0,34.6542,C,First,man,Cherbourg,Yes
97,1,1,male,23.0,0,1,63.3583,C,First,man,Cherbourg,No
98,1,2,female,34.0,0,1,23.0,S,Second,woman,Southampton,No
99,0,2,male,34.0,1,0,26.0,S,Second,man,Southampton,No
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,Southampton,Yes
101,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,Southampton,Yes
102,0,1,male,21.0,0,1,77.2875,S,First,man,Southampton,No
103,0,3,male,33.0,0,0,8.6542,S,Third,man,Southampton,Yes
104,0,3,male,37.0,2,0,7.925,S,Third,man,Southampton,No
105,0,3,male,28.0,0,0,7.8958,S,Third,man,Southampton,Yes
106,1,3,female,21.0,0,0,7.65,S,Third,woman,Southampton,Yes
107,1,3,male,29.69911764705882,0,0,7.775,S,Third,man,Southampton,Yes
108,0,3,male,38.0,0,0,7.8958,S,Third,man,Southampton,Yes
109,1,3,female,29.69911764705882,1,0,24.15,Q,Third,woman,Queenstown,No
110,0,1,male,47.0,0,0,52.0,S,First,man,Southampton,Yes
111,0,3,female,14.5,1,0,14.4542,C,Third,child,Cherbourg,No
112,0,3,male,22.0,0,0,8.05,S,Third,man,Southampton,Yes
113,0,3,female,20.0,1,0,9.825,S,Third,woman,Southampton,No
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,Cherbourg,Yes
115,0,3,male,21.0,0,0,7.925,S,Third,man,Southampton,Yes
116,0,3,male,70.5,0,0,7.75,Q,Third,man,Queenstown,Yes
117,0,2,male,29.0,1,0,21.0,S,Second,man,Southampton,No
118,0,1,male,24.0,0,1,247.5208,C,First,man,Cherbourg,No
119,0,3,female,2.0,4,2,31.275,S,Third,child,Southampton,No
120,0,2,male,21.0,2,0,73.5,S,Second,man,Southampton,No
121,0,3,male,29.69911764705882,0,0,8.05,S,Third,man,Southampton,Yes
122,0,2,male,32.5,1,0,30.0708,C,Second,man,Cherbourg,No
123,1,2,female,32.5,0,0,13.0,S,Second,woman,Southampton,Yes
124,0,1,male,54.0,0,1,77.2875,S,First,man,Southampton,No
125,1,3,male,12.0,1,0,11.2417,C,Third,child,Cherbourg,No
126,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,Queenstown,Yes
127,1,3,male,24.0,0,0,7.1417,S,Third,man,Southampton,Yes
128,1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,Cherbourg,No
129,0,3,male,45.0,0,0,6.975,S,Third,man,Southampton,Yes
130,0,3,male,33.0,0,0,7.8958,C,Third,man,Cherbourg,Yes
131,0,3,male,20.0,0,0,7.05,S,Third,man,Southampton,Yes
132,0,3,female,47.0,1,0,14.5,S,Third,woman,Southampton,No
133,1,2,female,29.0,1,0,26.0,S,Second,woman,Southampton,No
134,0,2,male,25.0,0,0,13.0,S,Second,man,Southampton,Yes
135,0,2,male,23.0,0,0,15.0458,C,Second,man,Cherbourg,Yes
136,1,1,female,19.0,0,2,26.2833,S,First,woman,Southampton,No
137,0,1,male,37.0,1,0,53.1,S,First,man,Southampton,No
138,0,3,male,16.0,0,0,9.2167,S,Third,man,Southampton,Yes
139,0,1,male,24.0,0,0,79.2,C,First,man,Cherbourg,Yes
140,0,3,female,29.69911764705882,0,2,15.2458,C,Third,woman,Cherbourg,No
141,1,3,female,22.0,0,0,7.75,S,Third,woman,Southampton,Yes
142,1,3,female,24.0,1,0,15.85,S,Third,woman,Southampton,No
143,0,3,male,19.0,0,0,6.75,Q,Third,man,Queenstown,Yes
144,0,2,male,18.0,0,0,11.5,S,Second,man,Southampton,Yes
145,0,2,male,19.0,1,1,36.75,S,Second,man,Southampton,No
146,1,3,male,27.0,0,0,7.7958,S,Third,man,Southampton,Yes
147,0,3,female,9.0,2,2,34.375,S,Third,child,Southampton,No
148,0,2,male,36.5,0,2,26.0,S,Second,man,Southampton,No
149,0,2,male,42.0,0,0,13.0,S,Second,man,Southampton,Yes
150,0,2,male,51.0,0,0,12.525,S,Second,man,Southampton,Yes
151,1,1,female,22.0,1,0,66.6,S,First,woman,Southampton,No
152,0,3,male,55.5,0,0,8.05,S,Third,man,Southampton,Yes
153,0,3,male,40.5,0,2,14.5,S,Third,man,Southampton,No
154,0,3,male,29.69911764705882,0,0,7.3125,S,Third,man,Southampton,Yes
155,0,1,male,51.0,0,1,61.3792,C,First,man,Cherbourg,No
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,Queenstown,Yes
157,0,3,male,30.0,0,0,8.05,S,Third,man,Southampton,Yes
158,0,3,male,29.69911764705882,0,0,8.6625,S,Third,man,Southampton,Yes
159,0,3,male,29.69911764705882,8,2,69.55,S,Third,man,Southampton,No
160,0,3,male,44.0,0,1,16.1,S,Third,man,Southampton,No
161,1,2,female,40.0,0,0,15.75,S,Second,woman,Southampton,Yes
162,0,3,male,26.0,0,0,7.775,S,Third,man,Southampton,Yes
163,0,3,male,17.0,0,0,8.6625,S,Third,man,Southampton,Yes
164,0,3,male,1.0,4,1,39.6875,S,Third,child,Southampton,No
165,1,3,male,9.0,0,2,20.525,S,Third,child,Southampton,No
166,1,1,female,29.69911764705882,0,1,55.0,S,First,woman,Southampton,No
167,0,3,female,45.0,1,4,27.9,S,Third,woman,Southampton,No
168,0,1,male,29.69911764705882,0,0,25.925,S,First,man,Southampton,Yes
169,0,3,male,28.0,0,0,56.4958,S,Third,man,Southampton,Yes
170,0,1,male,61.0,0,0,33.5,S,First,man,Southampton,Yes
171,0,3,male,4.0,4,1,29.125,Q,Third,child,Queenstown,No
172,1,3,female,1.0,1,1,11.1333,S,Third,child,Southampton,No
173,0,3,male,21.0,0,0,7.925,S,Third,man,Southampton,Yes
174,0,1,male,56.0,0,0,30.6958,C,First,man,Cherbourg,Yes
175,0,3,male,18.0,1,1,7.8542,S,Third,man,Southampton,No
176,0,3,male,29.69911764705882,3,1,25.4667,S,Third,man,Southampton,No
177,0,1,female,50.0,0,0,28.7125,C,First,woman,Cherbourg,Yes
178,0,2,male,30.0,0,0,13.0,S,Second,man,Southampton,Yes
179,0,3,male,36.0,0,0,0.0,S,Third,man,Southampton,Yes
180,0,3,female,29.69911764705882,8,2,69.55,S,Third,woman,Southampton,No
181,0,2,male,29.69911764705882,0,0,15.05,C,Second,man,Cherbourg,Yes
182,0,3,male,9.0,4,2,31.3875,S,Third,child,Southampton,No
183,1,2,male,1.0,2,1,39.0,S,Second,child,Southampton,No
184,1,3,female,4.0,0,2,22.025,S,Third,child,Southampton,No
185,0,1,male,29.69911764705882,0,0,50.0,S,First,man,Southampton,Yes
186,1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,Queenstown,No
187,1,1,male,45.0,0,0,26.55,S,First,man,Southampton,Yes
188,0,3,male,40.0,1,1,15.5,Q,Third,man,Queenstown,No
189,0,3,male,36.0,0,0,7.8958,S,Third,man,Southampton,Yes
190,1,2,female,32.0,0,0,13.0,S,Second,woman,Southampton,Yes
191,0,2,male,19.0,0,0,13.0,S,Second,man,Southampton,Yes
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,Southampton,No
193,1,2,male,3.0,1,1,26.0,S,Second,child,Southampton,No
194,1,1,female,44.0,0,0,27.7208,C,First,woman,Cherbourg,Yes
195,1,1,female,58.0,0,0,146.5208,C,First,woman,Cherbourg,Yes
196,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,Queenstown,Yes
197,0,3,male,42.0,0,1,8.4042,S,Third,man,Southampton,No
198,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,Queenstown,Yes
199,0,2,female,24.0,0,0,13.0,S,Second,woman,Southampton,Yes
200,0,3,male,28.0,0,0,9.5,S,Third,man,Southampton,Yes
201,0,3,male,29.69911764705882,8,2,69.55,S,Third,man,Southampton,No
202,0,3,male,34.0,0,0,6.4958,S,Third,man,Southampton,Yes
203,0,3,male,45.5,0,0,7.225,C,Third,man,Cherbourg,Yes
204,1,3,male,18.0,0,0,8.05,S,Third,man,Southampton,Yes
205,0,3,female,2.0,0,1,10.4625,S,Third,child,Southampton,No
206,0,3,male,32.0,1,0,15.85,S,Third,man,Southampton,No
207,1,3,male,26.0,0,0,18.7875,C,Third,man,Cherbourg,Yes
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,Queenstown,Yes
209,1,1,male,40.0,0,0,31.0,C,First,man,Cherbourg,Yes
210,0,3,male,24.0,0,0,7.05,S,Third,man,Southampton,Yes
211,1,2,female,35.0,0,0,21.0,S,Second,woman,Southampton,Yes
212,0,3,male,22.0,0,0,7.25,S,Third,man,Southampton,Yes
213,0,2,male,30.0,0,0,13.0,S,Second,man,Southampton,Yes
214,0,3,male,29.69911764705882,1,0,7.75,Q,Third,man,Queenstown,No
215,1,1,female,31.0,1,0,113.275,C,First,woman,Cherbourg,No
216,1,3,female,27.0,0,0,7.925,S,Third,woman,Southampton,Yes
217,0,2,male,42.0,1,0,27.0,S,Second,man,Southampton,No
218,1,1,female,32.0,0,0,76.2917,C,First,woman,Cherbourg,Yes
219,0,2,male,30.0,0,0,10.5,S,Second,man,Southampton,Yes
220,1,3,male,16.0,0,0,8.05,S,Third,man,Southampton,Yes
221,0,2,male,27.0,0,0,13.0,S,Second,man,Southampton,Yes
222,0,3,male,51.0,0,0,8.05,S,Third,man,Southampton,Yes
223,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,Southampton,Yes
224,1,1,male,38.0,1,0,90.0,S,First,man,Southampton,No
225,0,3,male,22.0,0,0,9.35,S,Third,man,Southampton,Yes
226,1,2,male,19.0,0,0,10.5,S,Second,man,Southampton,Yes
227,0,3,male,20.5,0,0,7.25,S,Third,man,Southampton,Yes
228,0,2,male,18.0,0,0,13.0,S,Second,man,Southampton,Yes
229,0,3,female,29.69911764705882,3,1,25.4667,S,Third,woman,Southampton,No
230,1,1,female,35.0,1,0,83.475,S,First,woman,Southampton,No
231,0,3,male,29.0,0,0,7.775,S,Third,man,Southampton,Yes
232,0,2,male,59.0,0,0,13.5,S,Second,man,Southampton,Yes
233,1,3,female,5.0,4,2,31.3875,S,Third,child,Southampton,No
234,0,2,male,24.0,0,0,10.5,S,Second,man,Southampton,Yes
235,0,3,female,29.69911764705882,0,0,7.55,S,Third,woman,Southampton,Yes
236,0,2,male,44.0,1,0,26.0,S,Second,man,Southampton,No
237,1,2,female,8.0,0,2,26.25,S,Second,child,Southampton,No
238,0,2,male,19.0,0,0,10.5,S,Second,man,Southampton,Yes
239,0,2,male,33.0,0,0,12.275,S,Second,man,Southampton,Yes
240,0,3,female,29.69911764705882,1,0,14.4542,C,Third,woman,Cherbourg,No
241,1,3,female,29.69911764705882,1,0,15.5,Q,Third,woman,Queenstown,No
242,0,2,male,29.0,0,0,10.5,S,Second,man,Southampton,Yes
243,0,3,male,22.0,0,0,7.125,S,Third,man,Southampton,Yes
244,0,3,male,30.0,0,0,7.225,C,Third,man,Cherbourg,Yes
245,0,1,male,44.0,2,0,90.0,Q,First,man,Queenstown,No
246,0,3,female,25.0,0,0,7.775,S,Third,woman,Southampton,Yes
247,1,2,female,24.0,0,2,14.5,S,Second,woman,Southampton,No
248,1,1,male,37.0,1,1,52.5542,S,First,man,Southampton,No
249,0,2,male,54.0,1,0,26.0,S,Second,man,Southampton,No
250,0,3,male,29.69911764705882,0,0,7.25,S,Third,man,Southampton,Yes
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,Southampton,No
252,0,1,male,62.0,0,0,26.55,S,First,man,Southampton,Yes
253,0,3,male,30.0,1,0,16.1,S,Third,man,Southampton,No
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,Southampton,No
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,Cherbourg,No
256,1,1,female,29.69911764705882,0,0,79.2,C,First,woman,Cherbourg,Yes
257,1,1,female,30.0,0,0,86.5,S,First,woman,Southampton,Yes
258,1,1,female,35.0,0,0,512.3292,C,First,woman,Cherbourg,Yes
259,1,2,female,50.0,0,1,26.0,S,Second,woman,Southampton,No
260,0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,Queenstown,Yes
261,1,3,male,3.0,4,2,31.3875,S,Third,child,Southampton,No
262,0,1,male,52.0,1,1,79.65,S,First,man,Southampton,No
263,0,1,male,40.0,0,0,0.0,S,First,man,Southampton,Yes
264,0,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,Queenstown,Yes
265,0,2,male,36.0,0,0,10.5,S,Second,man,Southampton,Yes
266,0,3,male,16.0,4,1,39.6875,S,Third,man,Southampton,No
267,1,3,male,25.0,1,0,7.775,S,Third,man,Southampton,No
268,1,1,female,58.0,0,1,153.4625,S,First,woman,Southampton,No
269,1,1,female,35.0,0,0,135.6333,S,First,woman,Southampton,Yes
270,0,1,male,29.69911764705882,0,0,31.0,S,First,man,Southampton,Yes
271,1,3,male,25.0,0,0,0.0,S,Third,man,Southampton,Yes
272,1,2,female,41.0,0,1,19.5,S,Second,woman,Southampton,No
273,0,1,male,37.0,0,1,29.7,C,First,man,Cherbourg,No
274,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,Queenstown,Yes
275,1,1,female,63.0,1,0,77.9583,S,First,woman,Southampton,No
276,0,3,female,45.0,0,0,7.75,S,Third,woman,Southampton,Yes
277,0,2,male,29.69911764705882,0,0,0.0,S,Second,man,Southampton,Yes
278,0,3,male,7.0,4,1,29.125,Q,Third,child,Queenstown,No
279,1,3,female,35.0,1,1,20.25,S,Third,woman,Southampton,No
280,0,3,male,65.0,0,0,7.75,Q,Third,man,Queenstown,Yes
281,0,3,male,28.0,0,0,7.8542,S,Third,man,Southampton,Yes
282,0,3,male,16.0,0,0,9.5,S,Third,man,Southampton,Yes
283,1,3,male,19.0,0,0,8.05,S,Third,man,Southampton,Yes
284,0,1,male,29.69911764705882,0,0,26.0,S,First,man,Southampton,Yes
285,0,3,male,33.0,0,0,8.6625,C,Third,man,Cherbourg,Yes
286,1,3,male,30.0,0,0,9.5,S,Third,man,Southampton,Yes
287,0,3,male,22.0,0,0,7.8958,S,Third,man,Southampton,Yes
288,1,2,male,42.0,0,0,13.0,S,Second,man,Southampton,Yes
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,Queenstown,Yes
290,1,1,female,26.0,0,0,78.85,S,First,woman,Southampton,Yes
291,1,1,female,19.0,1,0,91.0792,C,First,woman,Cherbourg,No
292,0,2,male,36.0,0,0,12.875,C,Second,man,Cherbourg,Yes
293,0,3,female,24.0,0,0,8.85,S,Third,woman,Southampton,Yes
294,0,3,male,24.0,0,0,7.8958,S,Third,man,Southampton,Yes
295,0,1,male,29.69911764705882,0,0,27.7208,C,First,man,Cherbourg,Yes
296,0,3,male,23.5,0,0,7.2292,C,Third,man,Cherbourg,Yes
